CEP|Tipo_Logradouro|Logradouro|Complemento|Local|Bairro|Cidade|cod_cidade|UF|Estado|cod_estado|Latitude|Longitude
23040100|Rua|Professora Celina Padilha|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9227893|-43.5485605
23050280|Rua|Francisco de Almeida Costa|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9050091|-43.5631427
23055015|Rua|Baliza|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9121373|-43.5763333
23055310|Rua|Ararupe|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.7375624|-43.5140488
23059782|Rua|do Sítio|(Fav União)||Inhoaíba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9120776|-43.6049540
23062360|Rua|Operário Marcos Andreotti|||Inhoaíba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9040691|-43.5968194
23064220|Rua|Rouxinol|(Nova Cidade)||Inhoaíba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8832534|-43.5552491
23066240|Caminho|Sem Nome|(Jd Palmares)||Paciência|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8824216|-43.2815714
23066465|Praça|Quatro|||Cosmos|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-23.0142721|-43.3077789
23071636|Rua|Daniela Peres|(Cj Sta Maria)||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8748505|-43.5806407
23073020|Rua|José Manuel Máximo|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8939638|-43.5895186
23078030|Rua|Félix Bernardelli|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8802238|-43.5839563
23080040|Rua|Butiá|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8999861|-43.5569395
23085330|Rua|Major Gabriel Teles|||Senador Vasconcelos|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8977769|-43.5447830
23087270|Largo|da Maçonaria|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8887645|-43.5602687
23088280|Rua|Valdir Azevedo|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8854634|-43.5490122
23090850|Rua|Reverendo Porto Filho|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8717686|-43.5663370
23092632|Rua|Itamaraju|(Débora I)||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8772069|-43.5415341
23093550|Rua|A|(Prq Núbia)||Santíssimo|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33||
23095500|Rua|Virgolino Alves Cardia|(Jd Santa Cecília)||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8710151|-43.5567329
23097570|Rua|Sebastião Rosa da Paz|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9068467|-43.1728965
23097650|Rua|Restinga|||Campo Grande|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8561623|-43.5272864
23098260|Rua|Joaquim de Freitas|||Santíssimo|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8708186|-43.5099905
23510241|Rua|General Olímpio|- até 179 - lado ímpar||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9204932|-43.6802020
23520098|Rua|Projetada F|(R Francisco)||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8703386|-43.2357954
23520160|Beco|Miguel Benedito|||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.7012967|-43.5826427
23520714|Beco|Amizade|||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.8272455|-43.3764522
23535130|Travessa|Adir Jorge|||Sepetiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9068467|-43.1728965
23535340|Rua|Jamil Dagli|||Sepetiba|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9068467|-43.1728965
23570043|Rua|Professora Leira|||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9065639|-43.6919068
23570086|Rua|Mateus|||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9094419|-43.6918930
23570650|Rua|Dilson Funaro|||Santa Cruz|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9163198|-43.6576190
23575487|Beco|do Teteu|(Jd Eden)||Paciência|Rio de Janeiro|3304557|RJ|Rio de Janeiro|33|-22.9068467|-43.1728965
23821530|Rua|Pedro Ignácio Coelho|||Ilha da Madeira|Itaguaí|3302007|RJ|Rio de Janeiro|33|-22.9183133|-43.8498870
23825010|Rua|Ema|||Coroa Grande|Itaguaí|3302007|RJ|Rio de Janeiro|33|-22.8631923|-43.7779091
23826220|Rua|Irene de Castro Souza|- até 420/421||Brisa Mar|Itaguaí|3302007|RJ|Rio de Janeiro|33|-22.8746532|-43.8015888
23831313|Rua|Ritta Magdalena de Jesus|(Cj Esmeralda - Gleba B)||Chaperó|Itaguaí|3302007|RJ|Rio de Janeiro|33|-22.8631923|-43.7779091
23831490|Rua|Acácia|(Gleba C)||Chaperó|Itaguaí|3302007|RJ|Rio de Janeiro|33|-22.8172967|-43.7698482
23836490|Rua|Monte Castelo|||Águas Lindas|Itaguaí|3302007|RJ|Rio de Janeiro|33|-19.7504844|-40.3798368
23850310|Rua|Amaro Faria da Fonseca|||Parque Jocimar|Itaguaí|3302007|RJ|Rio de Janeiro|33|-22.8631923|-43.7779091
23860990||Estrada da Cachoeira, 1||Fazenda Santa Barbara|-|Mangaratiba|3302601|RJ|Rio de Janeiro|33|-22.9177771|-43.9521383
23890007|Rua|Antônio Honorato da Silva|||Jardins|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.7530802|-43.7159011
23891490|Rua|UI|||Ecologia|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.8162504|-43.6948705
23892095|Estrada|A|||Santa Alice|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.8140395|-43.6376459
23895150|Rua|Emanuel Tomaz de Araújo|||Fazenda Caxias|Seropédica|3305554|RJ|Rio de Janeiro|33|-22.7530802|-43.7159011
